Concrete,Strand,Rebar,Span_ft,Gir Dep (in),Lat Spac (ft),No. of Gir,bot flange bot part depth (in),bot flange bot part width (in),Number of strand per girder,Harp Pos (ft),Combo,Design_Rank,Family_ID
600.0,1.26,2.82,120.0,66.70866142,7.166666667,6.0,11.05882353,21.3984252,58.0,59.38582677,22.0,1,600.0_1.26_2.82_120.0
600.0,1.26,2.82,120.0,63.93700787,7.166666667,6.0,6.588235294,31.75905512,66.0,35.84251969,22.0,2,600.0_1.26_2.82_120.0
600.0,1.26,2.82,120.0,70.48818898,6.142857143,7.0,13.0,25.65489314,50.0,36.86614173,22.0,3,600.0_1.26_2.82_120.0
600.0,1.26,2.82,120.0,59.1496063,7.166666667,6.0,9.647058824,48.82362205,64.0,43.41732283,22.0,4,600.0_1.26_2.82_120.0
600.0,1.26,2.82,120.0,69.48031496,7.166666667,6.0,2.823529412,53.6992126,56.0,42.18897638,22.0,5,600.0_1.26_2.82_120.0
405.0,1.26,3.45,120.0,70.23622047,7.166666667,6.0,11.41176471,29.32125984,54.0,36.2519685,11.0,1,405.0_1.26_3.45_120.0
405.0,1.26,3.45,120.0,61.41732283,7.166666667,6.0,2.882352941,37.24409449,76.0,40.34645669,11.0,2,405.0_1.26_3.45_120.0
405.0,1.26,3.45,120.0,67.71653543,6.142857143,7.0,8.529411765,25.65489314,50.0,54.26771654,11.0,3,405.0_1.26_3.45_120.0
405.0,1.26,3.45,120.0,56.12598425,5.375,8.0,6.588235294,20.61968504,54.0,57.13385827,11.0,4,405.0_1.26_3.45_120.0
405.0,1.26,3.45,120.0,71.49606299,7.166666667,6.0,10.41176471,28.71181102,54.0,47.51181102,11.0,5,405.0_1.26_3.45_120.0
505.0,1.26,3.45,120.0,69.22834646,7.166666667,6.0,10.52941176,35.41574803,54.0,48.94488189,17.0,1,505.0_1.26_3.45_120.0
505.0,1.26,3.45,120.0,61.41732283,7.166666667,6.0,2.882352941,37.24409449,76.0,40.34645669,17.0,2,505.0_1.26_3.45_120.0
505.0,1.26,3.45,120.0,71.7480315,6.142857143,7.0,8.823529412,28.26681665,50.0,52.22047244,17.0,3,505.0_1.26_3.45_120.0
505.0,1.26,3.45,120.0,56.37795276,5.375,8.0,8.0,48.5019685,56.0,36.04724409,17.0,4,505.0_1.26_3.45_120.0
505.0,1.26,3.45,120.0,67.46456693,7.166666667,6.0,5.588235294,23.22677165,62.0,44.8503937,17.0,5,505.0_1.26_3.45_120.0
600.0,1.26,3.45,120.0,57.38582677,6.142857143,7.0,6.411764706,40.80404949,62.0,53.24409449,23.0,1,600.0_1.26_3.45_120.0
600.0,1.26,3.45,120.0,70.23622047,7.166666667,6.0,7.705882353,20.78897638,54.0,34.20472441,23.0,2,600.0_1.26_3.45_120.0
600.0,1.26,3.45,120.0,67.21259843,5.375,8.0,5.117647059,25.6476378,48.0,42.80314961,23.0,3,600.0_1.26_3.45_120.0
600.0,1.26,3.45,120.0,71.7480315,7.166666667,6.0,13.05882353,13.47559055,56.0,43.21259843,23.0,4,600.0_1.26_3.45_120.0
600.0,1.26,3.45,120.0,71.24409449,7.166666667,6.0,13.0,14.08503937,56.0,41.57480315,23.0,5,600.0_1.26_3.45_120.0
405.0,2.23,2.18,120.0,70.23622047,7.166666667,6.0,7.352941176,31.75905512,52.0,39.93700787,14.0,1,405.0_2.23_2.18_120.0
405.0,2.23,2.18,120.0,70.23622047,6.142857143,7.0,4.470588235,31.40112486,52.0,43.00787402,14.0,2,405.0_2.23_2.18_120.0
405.0,2.23,2.18,120.0,70.23622047,6.142857143,7.0,4.470588235,31.40112486,52.0,43.00787402,14.0,3,405.0_2.23_2.18_120.0
405.0,2.23,2.18,120.0,68.97637795,7.166666667,6.0,4.705882353,29.32125984,60.0,51.4015748,14.0,4,405.0_2.23_2.18_120.0
405.0,2.23,2.18,120.0,71.49606299,5.375,8.0,8.411764706,19.2484252,42.0,39.93700787,14.0,5,405.0_2.23_2.18_120.0
505.0,2.23,2.18,120.0,71.7480315,7.166666667,6.0,8.058823529,22.00787402,50.0,56.92913386,20.0,1,505.0_2.23_2.18_120.0
505.0,2.23,2.18,120.0,66.96062992,6.142857143,7.0,9.352941176,31.92350956,48.0,42.18897638,20.0,2,505.0_2.23_2.18_120.0
505.0,2.23,2.18,120.0,69.48031496,7.166666667,6.0,3.941176471,53.6992126,54.0,52.83464567,20.0,3,505.0_2.23_2.18_120.0
